,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,01,00:00,24°C,25°C,90°6 Km/h,N/A,78%,20°C,1015.0mb, Few Clouds at 760m  
1,2021,02,01,01:00,24°C,25°C,Variable at 4 Km/h,N/A,78%,20°C,1015.0mb, Scattered Clouds at 760m  
2,2021,02,01,02:00,24°C,25°C,Calm,N/A,78%,20°C,1015.0mb," Few Clouds at 760m, Broken Clouds at 2400m  "
3,2021,02,01,03:00,24°C,25°C,Variable at 2 Km/h,N/A,78%,20°C,1014.0mb," Scattered Clouds at 760m, Scattered Clouds at 3000m  "
4,2021,02,01,04:00,23°C,24°C,Variable at 4 Km/h,N/A,83%,20°C,1014.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
5,2021,02,01,05:00,24°C,25°C,120°6 Km/h,N/A,78%,20°C,1014.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
6,2021,02,01,06:00,23°C,24°C,10°13 Km/h,N/A,83%,20°C,1015.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
7,2021,02,01,07:00,23°C,24°C,20°9 Km/h,N/A,83%,20°C,1015.0mb," Scattered Clouds at 760m, Scattered Clouds at 3000m  "
8,2021,02,01,08:00,24°C,25°C,10°11 Km/h,N/A,78%,20°C,1015.0mb," Scattered Clouds at 760m, Scattered Clouds at 9100m  "
9,2021,02,01,09:00,26°C,27°C,60°9 Km/h,N/A,70%,20°C,1015.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
10,2021,02,01,10:00,28°C,30°C,90°7 Km/h,N/A,62%,20°C,1015.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
11,2021,02,01,11:00,28°C,30°C,Variable at 9 Km/h,N/A,62%,20°C,1015.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
12,2021,02,01,12:00,29°C,31°C,Variable at 9 Km/h,N/A,62%,21°C,1014.0mb, Broken Clouds at 700m  
13,2021,02,01,13:00,29°C,31°C,100°13 Km/h,N/A,62%,21°C,1013.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
14,2021,02,01,14:00,30°C,32°C,120°13 Km/h,N/A,55%,20°C,1012.0mb," Scattered Clouds at 700m, Scattered Clouds at 9100m  "
15,2021,02,01,15:00,29°C,31°C,110°17 Km/h,N/A,58%,20°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
16,2021,02,01,16:00,29°C,31°C,70°20 Km/h,N/A,58%,20°C,1012.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
17,2021,02,01,17:00,29°C,31°C,100°13 Km/h,N/A,58%,20°C,1012.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
18,2021,02,01,18:00,27°C,28°C,100°15 Km/h,N/A,62%,19°C,1013.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
19,2021,02,01,19:00,27°C,28°C,100°15 Km/h,N/A,62%,19°C,1013.0mb, Few Clouds at 760m  
20,2021,02,01,20:00,26°C,27°C,100°6 Km/h,N/A,70%,20°C,1014.0mb, Few Clouds at 760m  
21,2021,02,01,21:00,25°C,26°C,140°7 Km/h,N/A,79%,21°C,1014.0mb, Few Clouds at 760m  
22,2021,02,01,22:00,25°C,26°C,100°9 Km/h,N/A,79%,21°C,1014.0mb, Few Clouds at 760m  
23,2021,02,01,23:00,25°C,26°C,100°6 Km/h,N/A,79%,21°C,1014.0mb, Few Clouds at 760m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,02,00:00,25°C,26°C,80°4 Km/h,N/A,79%,21°C,1014.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
1,2021,02,02,01:00,25°C,25°C,Variable at 4 Km/h,N/A,74%,20°C,1014.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
2,2021,02,02,02:00,25°C,25°C,Variable at 2 Km/h,N/A,74%,20°C,1013.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
3,2021,02,02,03:00,25°C,25°C,Variable at 4 Km/h,N/A,74%,20°C,1013.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
4,2021,02,02,04:00,25°C,25°C,200°4 Km/h,N/A,74%,20°C,1013.0mb," Few Clouds at 700m, Broken Clouds at 2400m  "
5,2021,02,02,05:00,25°C,25°C,Variable at 2 Km/h,N/A,74%,20°C,1013.0mb," Few Clouds at 760m, Broken Clouds at 2700m  "
6,2021,02,02,06:00,24°C,25°C,270°6 Km/h,N/A,78%,20°C,1013.0mb," Few Clouds at 760m, Broken Clouds at 2700m  "
7,2021,02,02,07:00,24°C,25°C,310°9 Km/h,N/A,78%,20°C,1014.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
8,2021,02,02,08:00,25°C,25°C,10°7 Km/h,N/A,74%,20°C,1015.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
9,2021,02,02,09:00,27°C,29°C,270°6 Km/h,N/A,66%,20°C,1015.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
10,2021,02,02,10:00,27°C,29°C,Variable at 7 Km/h,N/A,70%,21°C,1015.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
11,2021,02,02,11:00,28°C,30°C,Variable at 6 Km/h,N/A,66%,21°C,1014.0mb, Few Clouds at 760m  
12,2021,02,02,12:00,28°C,30°C,310°13 Km/h,N/A,66%,21°C,1014.0mb, Few Clouds at 760m  
13,2021,02,02,13:00,29°C,32°C,300°13 Km/h,N/A,66%,22°C,1013.0mb, Few Clouds at 760m  
14,2021,02,02,14:00,28°C,30°C,270°13 Km/h,N/A,66%,21°C,1012.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
15,2021,02,02,15:00,29°C,32°C,Variable at 6 Km/h,N/A,66%,22°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
16,2021,02,02,16:00,31°C,35°C,130°13 Km/h,N/A,59%,22°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
17,2021,02,02,17:00,30°C,33°C,130°15 Km/h,N/A,62%,22°C,1012.0mb, Scattered Clouds at 700m  
18,2021,02,02,18:00,28°C,30°C,90°9 Km/h,N/A,62%,20°C,1013.0mb," Few Clouds at 760m, Broken Clouds at 9100m  "
19,2021,02,02,19:00,28°C,30°C,90°13 Km/h,N/A,62%,20°C,1013.0mb, Few Clouds at 760m  
20,2021,02,02,20:00,27°C,29°C,100°9 Km/h,N/A,66%,20°C,1013.0mb, Few Clouds at 760m  
21,2021,02,02,21:00,26°C,27°C,120°11 Km/h,N/A,70%,20°C,1014.0mb, Few Clouds at 760m  
22,2021,02,02,22:00,26°C,27°C,120°7 Km/h,N/A,70%,20°C,1014.0mb, Few Clouds at 760m  
23,2021,02,02,23:00,25°C,26°C,110°7 Km/h,N/A,79%,21°C,1014.0mb, Few Clouds at 760m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,03,00:00,25°C,26°C,130°6 Km/h,N/A,79%,21°C,1014.0mb, Few Clouds at 760m  
1,2021,02,03,01:00,25°C,26°C,80°6 Km/h,N/A,79%,21°C,1013.0mb, Few Clouds at 760m  
2,2021,02,03,02:00,25°C,26°C,Variable at 4 Km/h,N/A,79%,21°C,1013.0mb, Few Clouds at 760m  
3,2021,02,03,03:00,24°C,25°C,160°4 Km/h,N/A,83%,21°C,1013.0mb, Few Clouds at 910m  
4,2021,02,03,04:00,24°C,25°C,Calm,N/A,83%,21°C,1013.0mb, Few Clouds at 910m  
5,2021,02,03,05:00,24°C,25°C,Calm,N/A,83%,21°C,1013.0mb, Few Clouds at 910m  
6,2021,02,03,06:00,24°C,25°C,Variable at 2 Km/h,N/A,83%,21°C,1014.0mb, Few Clouds at 760m  
7,2021,02,03,07:00,24°C,25°C,Calm,N/A,83%,21°C,1014.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
8,2021,02,03,08:00,27°C,29°C,Variable at 4 Km/h,N/A,70%,21°C,1015.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
9,2021,02,03,09:00,28°C,30°C,120°7 Km/h,N/A,66%,21°C,1015.0mb, Few Clouds at 760m  
10,2021,02,03,10:00,29°C,31°C,Variable at 4 Km/h,N/A,62%,21°C,1015.0mb, Scattered Clouds at 760m  
11,2021,02,03,11:00,28°C,30°C,280°7 Km/h,N/A,66%,21°C,1014.0mb, Few Clouds at 760m  
12,2021,02,03,12:00,31°C,34°C,90°13 Km/h,N/A,55%,21°C,1014.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
13,2021,02,03,13:00,30°C,33°C,300°13 Km/h,N/A,59%,21°C,1012.0mb, Few Clouds at 760m  
14,2021,02,03,14:00,32°C,35°C,120°15 Km/h,N/A,52%,21°C,1011.0mb, Scattered Clouds at 760m  
15,2021,02,03,15:00,30°C,33°C,Variable at 6 Km/h,N/A,62%,22°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
16,2021,02,03,16:00,31°C,34°C,90°24 Km/h,N/A,55%,21°C,1011.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
17,2021,02,03,17:00,29°C,31°C,90°20 Km/h,N/A,58%,20°C,1011.0mb, Few Clouds at 760m  
18,2021,02,03,18:00,29°C,31°C,90°17 Km/h,N/A,58%,20°C,1012.0mb, Few Clouds at 760m  
19,2021,02,03,19:00,28°C,30°C,90°17 Km/h,N/A,62%,20°C,1013.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
20,2021,02,03,20:00,27°C,29°C,110°13 Km/h,N/A,70%,21°C,1013.0mb, Few Clouds at 760m  
21,2021,02,03,21:00,27°C,29°C,90°13 Km/h,N/A,66%,20°C,1014.0mb, Few Clouds at 760m  
22,2021,02,03,22:00,27°C,29°C,80°11 Km/h,N/A,66%,20°C,1014.0mb, Few Clouds at 760m  
23,2021,02,03,23:00,27°C,29°C,80°11 Km/h,N/A,66%,20°C,1014.0mb, Few Clouds at 760m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,04,00:00,26°C,27°C,90°7 Km/h,N/A,70%,20°C,1013.0mb, Few Clouds at 910m  
1,2021,02,04,01:00,25°C,25°C,50°7 Km/h,N/A,74%,20°C,1013.0mb, Few Clouds at 910m  
2,2021,02,04,02:00,25°C,25°C,Variable at 4 Km/h,N/A,74%,20°C,1013.0mb, Few Clouds at 910m  
3,2021,02,04,03:00,25°C,26°C,Variable at 4 Km/h,N/A,79%,21°C,1013.0mb, Few Clouds at 910m  
4,2021,02,04,04:00,25°C,26°C,250°6 Km/h,N/A,79%,21°C,1013.0mb, Few Clouds at 910m  
5,2021,02,04,05:00,25°C,26°C,Variable at 4 Km/h,N/A,79%,21°C,1013.0mb, Few Clouds at 910m  
6,2021,02,04,06:00,24°C,25°C,Variable at 4 Km/h,N/A,83%,21°C,1014.0mb, Few Clouds at 910m  
7,2021,02,04,07:00,24°C,25°C,Variable at 2 Km/h,N/A,83%,21°C,1014.0mb, Few Clouds at 760m  
8,2021,02,04,08:00,26°C,27°C,250°7 Km/h,N/A,74%,21°C,1015.0mb, Few Clouds at 760m  
9,2021,02,04,09:00,28°C,30°C,Variable at 4 Km/h,N/A,66%,21°C,1015.0mb, Few Clouds at 910m  
10,2021,02,04,10:00,28°C,30°C,260°11 Km/h,N/A,66%,21°C,1015.0mb, Few Clouds at 910m  
11,2021,02,04,11:00,29°C,31°C,270°11 Km/h,N/A,62%,21°C,1015.0mb, Few Clouds at 760m  
12,2021,02,04,12:00,32°C,33°C,100°22 Km/h,N/A,46%,19°C,1014.0mb, Few Clouds at 760m  
13,2021,02,04,13:00,30°C,31°C,90°20 Km/h,N/A,49%,18°C,1013.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
14,2021,02,04,14:00,31°C,32°C,90°19 Km/h,N/A,49%,19°C,1012.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
15,2021,02,04,15:00,31°C,33°C,110°17 Km/h,N/A,52%,20°C,1012.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
16,2021,02,04,16:00,31°C,33°C,110°17 Km/h,N/A,52%,20°C,1012.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
17,2021,02,04,17:00,29°C,31°C,110°17 Km/h,N/A,58%,20°C,1012.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
18,2021,02,04,18:00,28°C,30°C,90°17 Km/h,N/A,62%,20°C,1013.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
19,2021,02,04,19:00,28°C,30°C,100°11 Km/h,N/A,62%,20°C,1013.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
20,2021,02,04,20:00,27°C,29°C,90°7 Km/h,N/A,66%,20°C,1014.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
21,2021,02,04,21:00,27°C,29°C,70°7 Km/h,N/A,66%,20°C,1014.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
22,2021,02,04,22:00,27°C,29°C,100°6 Km/h,N/A,66%,20°C,1014.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
23,2021,02,04,23:00,26°C,27°C,130°7 Km/h,N/A,74%,21°C,1014.0mb, Few Clouds at 700m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,05,00:00,27°C,29°C,100°7 Km/h,N/A,70%,21°C,1013.0mb," Few Clouds at 700m, Scattered Clouds at 3000m  "
1,2021,02,05,01:00,26°C,27°C,Variable at 4 Km/h,N/A,74%,21°C,1013.0mb, Few Clouds at 760m  
2,2021,02,05,02:00,26°C,27°C,Variable at 4 Km/h,N/A,74%,21°C,1012.0mb, Scattered Clouds at 700m  
3,2021,02,05,03:00,26°C,27°C,Variable at 4 Km/h,N/A,74%,21°C,1012.0mb, Broken Clouds at 760m  
4,2021,02,05,04:00,26°C,27°C,Variable at 4 Km/h,N/A,74%,21°C,1012.0mb, Few Clouds at 760m  
5,2021,02,05,05:00,26°C,27°C,Variable at 4 Km/h,N/A,74%,21°C,1012.0mb, Scattered Clouds at 760m  
6,2021,02,05,06:00,25°C,26°C,Variable at 2 Km/h,N/A,79%,21°C,1012.0mb, Broken Clouds at 760m  
7,2021,02,05,07:00,26°C,27°C,Variable at 2 Km/h,N/A,74%,21°C,1013.0mb," Few Clouds at 760m, Broken Clouds at 2400m  "
8,2021,02,05,08:00,27°C,29°C,Variable at 2 Km/h,N/A,70%,21°C,1014.0mb, Scattered Clouds at 760m  
9,2021,02,05,09:00,29°C,31°C,Variable at 4 Km/h,N/A,62%,21°C,1014.0mb," Few Clouds at 760m, Scattered Clouds at 8200m  "
10,2021,02,05,10:00,28°C,30°C,330°9 Km/h,N/A,66%,21°C,1014.0mb, Broken Clouds at 760m  
11,2021,02,05,11:00,30°C,33°C,90°9 Km/h,N/A,62%,22°C,1014.0mb, Scattered Clouds at 760m  
12,2021,02,05,12:00,32°C,34°C,90°20 Km/h,N/A,49%,20°C,1013.0mb, Scattered Clouds at 760m  
13,2021,02,05,13:00,31°C,33°C,80°22 Km/h,N/A,52%,20°C,1012.0mb, Scattered Clouds at 760m  
14,2021,02,05,14:00,32°C,35°C,290°13 Km/h,N/A,52%,21°C,1011.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
15,2021,02,05,15:00,30°C,33°C,80°17 Km/h,N/A,59%,21°C,1011.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
16,2021,02,05,16:00,30°C,33°C,40°13 Km/h,N/A,59%,21°C,1011.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
17,2021,02,05,17:00,29°C,31°C,100°17 Km/h,N/A,62%,21°C,1011.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
18,2021,02,05,18:00,28°C,31°C,110°9 Km/h,N/A,70%,22°C,1013.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
19,2021,02,05,19:00,27°C,29°C,120°9 Km/h,N/A,74%,22°C,1012.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
20,2021,02,05,20:00,27°C,29°C,130°7 Km/h,N/A,74%,22°C,1013.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
21,2021,02,05,21:00,26°C,28°C,140°6 Km/h,N/A,79%,22°C,1014.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
22,2021,02,05,22:00,26°C,28°C,110°9 Km/h,N/A,79%,22°C,1014.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
23,2021,02,05,23:00,26°C,28°C,120°11 Km/h,N/A,79%,22°C,1013.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,06,00:00,26°C,28°C,Variable at 4 Km/h,N/A,79%,22°C,1013.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m Light Rain Shower "
1,2021,02,06,01:00,26°C,28°C,110°7 Km/h,N/A,79%,22°C,1013.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
2,2021,02,06,02:00,26°C,28°C,Calm,N/A,79%,22°C,1012.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
3,2021,02,06,03:00,26°C,28°C,Calm,N/A,79%,22°C,1012.0mb," Few Clouds at 700m, Broken Clouds at 2400m  "
4,2021,02,06,04:00,26°C,28°C,280°6 Km/h,N/A,79%,22°C,1012.0mb," Few Clouds at 700m, Broken Clouds at 2700m  "
5,2021,02,06,05:00,26°C,28°C,260°6 Km/h,N/A,79%,22°C,1012.0mb," Few Clouds at 700m, Broken Clouds at 2400m  "
6,2021,02,06,06:00,26°C,28°C,220°4 Km/h,N/A,79%,22°C,1013.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
7,2021,02,06,07:00,26°C,28°C,Variable at 2 Km/h,N/A,79%,22°C,1014.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
8,2021,02,06,08:00,28°C,31°C,120°6 Km/h,N/A,70%,22°C,1014.0mb," Few Clouds at 760m, Scattered Clouds at 8200m  "
9,2021,02,06,09:00,28°C,31°C,Variable at 6 Km/h,N/A,70%,22°C,1014.0mb," Few Clouds at 760m, Broken Clouds at 8200m  "
10,2021,02,06,10:00,29°C,32°C,150°11 Km/h,N/A,66%,22°C,1014.0mb," Scattered Clouds at 760m, Broken Clouds at 8200m  "
11,2021,02,06,11:00,30°C,33°C,Variable at 9 Km/h,N/A,62%,22°C,1014.0mb," Few Clouds at 760m, Broken Clouds at 9100m  "
12,2021,02,06,12:00,30°C,34°C,Variable at 6 Km/h,N/A,66%,23°C,1013.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
13,2021,02,06,13:00,30°C,34°C,290°7 Km/h,N/A,66%,23°C,1012.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
14,2021,02,06,15:00,30°C,33°C,90°17 Km/h,N/A,62%,22°C,1010.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
15,2021,02,06,16:00,30°C,33°C,80°13 Km/h,N/A,62%,22°C,1010.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
16,2021,02,06,17:00,29°C,31°C,80°17 Km/h,N/A,62%,21°C,1010.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
17,2021,02,06,18:00,28°C,31°C,100°13 Km/h,N/A,70%,22°C,1011.0mb," Few Clouds at 700m, Broken Clouds at 3000m  "
18,2021,02,06,19:00,28°C,30°C,100°9 Km/h,N/A,66%,21°C,1011.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
19,2021,02,06,21:00,27°C,29°C,120°9 Km/h,N/A,74%,22°C,1013.0mb, Few Clouds at 760m  
20,2021,02,06,22:00,26°C,28°C,120°11 Km/h,N/A,84%,23°C,1013.0mb," Few Clouds at 760m, Scattered Clouds at 3000m  "
21,2021,02,06,23:00,26°C,28°C,130°7 Km/h,N/A,79%,22°C,1013.0mb," Few Clouds at 760m, Broken Clouds at 3000m  "
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,07,00:00,26°C,28°C,Variable at 6 Km/h,N/A,79%,22°C,1013.0mb, Few Clouds at 760m  
1,2021,02,07,01:00,25°C,26°C,Variable at 4 Km/h,N/A,89%,23°C,1012.0mb, Few Clouds at 760m  
2,2021,02,07,02:00,25°C,26°C,Variable at 4 Km/h,N/A,89%,23°C,1011.0mb, Few Clouds at 760m  
3,2021,02,07,03:00,25°C,26°C,Variable at 4 Km/h,N/A,89%,23°C,1011.0mb, Few Clouds at 760m  
4,2021,02,07,04:00,25°C,26°C,Variable at 4 Km/h,N/A,89%,23°C,1011.0mb," Scattered Clouds at 700m, Broken Clouds at 3000m  "
5,2021,02,07,05:00,25°C,26°C,Calm,N/A,83%,22°C,1011.0mb, Few Clouds at 700m  
6,2021,02,07,06:00,24°C,25°C,Variable at 2 Km/h,N/A,89%,22°C,1012.0mb, Few Clouds at 760m  
7,2021,02,07,07:00,25°C,26°C,Calm,N/A,89%,23°C,1012.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
8,2021,02,07,08:00,27°C,30°C,Calm,N/A,79%,23°C,1013.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
9,2021,02,07,09:00,28°C,32°C,40°4 Km/h,N/A,79%,24°C,1013.0mb, Few Clouds at 760m  
10,2021,02,07,10:00,31°C,35°C,80°15 Km/h,N/A,62%,23°C,1013.0mb, Few Clouds at 760m  
11,2021,02,07,11:00,29°C,34°C,260°13 Km/h,N/A,74%,24°C,1012.0mb, Scattered Clouds at 760m  
12,2021,02,07,12:00,30°C,35°C,260°7 Km/h,N/A,70%,24°C,1012.0mb, Scattered Clouds at 760m  
13,2021,02,07,13:00,31°C,38°C,110°6 Km/h,N/A,70%,25°C,1010.0mb, Scattered Clouds at 760m  
14,2021,02,07,14:00,32°C,35°C,110°22 Km/h,N/A,52%,21°C,1010.0mb, Scattered Clouds at 760m  
15,2021,02,07,15:00,32°C,34°C,110°22 Km/h,N/A,49%,20°C,1009.0mb, Scattered Clouds at 760m  
16,2021,02,07,16:00,32°C,35°C,110°19 Km/h,N/A,52%,21°C,1009.0mb, Few Clouds at 760m  
17,2021,02,07,17:00,31°C,35°C,110°15 Km/h,N/A,59%,22°C,1010.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
18,2021,02,07,18:00,30°C,33°C,110°9 Km/h,N/A,59%,21°C,1011.0mb," Scattered Clouds at 760m, Scattered Clouds at 9100m  "
19,2021,02,07,19:00,29°C,31°C,70°19 Km/h,N/A,58%,20°C,1011.0mb," Scattered Clouds at 760m, Broken Clouds at 3000m  "
20,2021,02,07,20:00,28°C,30°C,80°9 Km/h,N/A,62%,20°C,1012.0mb, Few Clouds at 910m  
21,2021,02,07,21:00,28°C,30°C,90°7 Km/h,N/A,62%,20°C,1013.0mb, Few Clouds at 910m  
22,2021,02,07,22:00,27°C,29°C,80°6 Km/h,N/A,74%,22°C,1013.0mb, Few Clouds at 910m  
23,2021,02,07,23:00,26°C,28°C,70°7 Km/h,N/A,84%,23°C,1013.0mb, Few Clouds at 910m  
,Year,Month,Day,Time,Temperature,Relative Temperature,Wind Speed,Wind Gust,Relative Humidity,Dew Point,Pressure,Condition
0,2021,02,08,00:00,25°C,26°C,70°6 Km/h,N/A,83%,22°C,1012.0mb, Few Clouds at 910m  
1,2021,02,08,01:00,26°C,28°C,Variable at 2 Km/h,N/A,79%,22°C,1012.0mb, Few Clouds at 910m  
2,2021,02,08,02:00,26°C,28°C,30°4 Km/h,N/A,79%,22°C,1011.0mb, Few Clouds at 910m  
3,2021,02,08,03:00,25°C,26°C,60°6 Km/h,N/A,79%,21°C,1011.0mb, Few Clouds at 760m  
4,2021,02,08,04:00,25°C,26°C,Variable at 2 Km/h,N/A,79%,21°C,1011.0mb, Few Clouds at 760m  
5,2021,02,08,05:00,25°C,26°C,Variable at 2 Km/h,N/A,79%,21°C,1011.0mb, Few Clouds at 760m  
6,2021,02,08,06:00,24°C,25°C,Variable at 2 Km/h,N/A,83%,21°C,1011.0mb, Few Clouds at 760m  
7,2021,02,08,07:00,25°C,26°C,Calm,N/A,83%,22°C,1012.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
8,2021,02,08,08:00,27°C,29°C,Variable at 2 Km/h,N/A,74%,22°C,1013.0mb," Few Clouds at 760m, Scattered Clouds at 9100m  "
9,2021,02,08,09:00,28°C,31°C,80°9 Km/h,N/A,70%,22°C,1013.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
10,2021,02,08,10:00,30°C,33°C,80°13 Km/h,N/A,62%,22°C,1014.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
11,2021,02,08,11:00,31°C,34°C,100°15 Km/h,N/A,55%,21°C,1013.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
12,2021,02,08,12:00,31°C,34°C,100°22 Km/h,N/A,55%,21°C,1012.0mb," Scattered Clouds at 700m, Scattered Clouds at 3000m  "
13,2021,02,08,13:00,31°C,34°C,110°19 Km/h,N/A,55%,21°C,1011.0mb," Scattered Clouds at 700m, Scattered Clouds at 9100m  "
14,2021,02,08,14:00,31°C,34°C,100°20 Km/h,N/A,55%,21°C,1011.0mb," Few Clouds at 700m, Scattered Clouds at 9100m  "
